Price,Close,High,Low,Open,Volume
Ticker,QAN.AX,QAN.AX,QAN.AX,QAN.AX,QAN.AX
Date,,,,,
2020-03-26,3.25,3.609999895095825,3.1700000762939453,3.319999933242798,30471600
2020-03-27,3.109999895095825,3.5199999809265137,3.0299999713897705,3.4000000953674316,27806101
2020-03-30,3.200000047683716,3.2200000286102295,2.9100000858306885,3.140000104904175,15047069
2020-03-31,3.2300000190734863,3.450000047683716,3.180000066757202,3.299999952316284,27232634
2020-04-01,3.380000114440918,3.4600000381469727,3.2100000381469727,3.2799999713897705,22041361
2020-04-02,3.200000047683716,3.2899999618530273,3.1549999713897705,3.2799999713897705,15509699
2020-04-03,3.049999952316284,3.2899999618530273,3.049999952316284,3.2799999713897705,17154116
2020-04-06,3.049999952316284,3.130000114440918,3.0,3.0999999046325684,13886143
2020-04-07,3.180000066757202,3.2899999618530273,3.1600000858306885,3.2100000381469727,15682005
2020-04-08,3.25,3.309999942779541,3.119999885559082,3.2100000381469727,12053278
2020-04-09,3.559999942779541,3.569999933242798,3.309999942779541,3.3399999141693115,16178594
2020-04-14,3.680000066757202,3.7100000381469727,3.569999933242798,3.6500000953674316,18015034
2020-04-15,3.549999952316284,3.809999942779541,3.5,3.7899999618530273,20372329
2020-04-16,3.4700000286102295,3.5999999046325684,3.430000066757202,3.509999990463257,14273194
2020-04-17,3.7200000286102295,3.809999942779541,3.5999999046325684,3.609999895095825,16630079
2020-04-20,3.5899999141693115,3.7899999618530273,3.569999933242798,3.75,15204386
2020-04-21,3.5899999141693115,3.8499999046325684,3.569999933242798,3.7899999618530273,20210068
2020-04-22,3.359999895095825,3.575000047683716,3.309999942779541,3.569999933242798,20794225
2020-04-23,3.3399999141693115,3.4600000381469727,3.3399999141693115,3.430000066757202,18758318
2020-04-24,3.390000104904175,3.430000066757202,3.359999895095825,3.369999885559082,12773648
2020-04-27,3.5399999618530273,3.565000057220459,3.390000104904175,3.4100000858306885,8658095
2020-04-28,3.5,3.6600000858306885,3.4600000381469727,3.5799999237060547,9706034
2020-04-29,3.6700000762939453,3.7100000381469727,3.509999990463257,3.509999990463257,13472420
2020-04-30,3.859999895095825,3.859999895095825,3.755000114440918,3.799999952316284,15833726
2020-05-01,3.619999885559082,3.799999952316284,3.5899999141693115,3.799999952316284,12826413
2020-05-04,3.559999942779541,3.609999895095825,3.4800000190734863,3.549999952316284,11424464
2020-05-05,3.619999885559082,3.759999990463257,3.5799999237060547,3.700000047683716,14373024
2020-05-06,3.5,3.6600000858306885,3.5,3.640000104904175,13057958
2020-05-07,3.4600000381469727,3.5299999713897705,3.4200000762939453,3.5,15449319
2020-05-08,3.4000000953674316,3.5199999809265137,3.4000000953674316,3.4800000190734863,14231631
2020-05-11,3.5299999713897705,3.5299999713897705,3.4600000381469727,3.4600000381469727,14484250
2020-05-12,3.5399999618530273,3.549999952316284,3.430000066757202,3.5399999618530273,10867399
2020-05-13,3.549999952316284,3.549999952316284,3.430000066757202,3.490000009536743,9197646
2020-05-14,3.3299999237060547,3.490000009536743,3.3299999237060547,3.490000009536743,16881128
2020-05-15,3.3499999046325684,3.430000066757202,3.2899999618530273,3.4000000953674316,10074786
2020-05-18,3.380000114440918,3.450000047683716,3.369999885559082,3.390000104904175,8140155
2020-05-19,3.5,3.5999999046325684,3.4800000190734863,3.549999952316284,16073240
2020-05-20,3.5299999713897705,3.559999942779541,3.4000000953674316,3.440000057220459,10284409
2020-05-21,3.630000114440918,3.640000104904175,3.509999990463257,3.559999942779541,15722140
2020-05-22,3.5999999046325684,3.7200000286102295,3.569999933242798,3.6500000953674316,16868865
2020-05-25,3.859999895095825,3.880000114440918,3.609999895095825,3.6500000953674316,21135495
2020-05-26,4.070000171661377,4.079999923706055,3.890000104904175,3.930000066757202,29196928
2020-05-27,4.090000152587891,4.199999809265137,3.9600000381469727,4.099999904632568,21633148
2020-05-28,4.090000152587891,4.25,4.079999923706055,4.139999866485596,15086626
2020-05-29,3.990000009536743,4.079999923706055,3.9600000381469727,4.070000171661377,18967683
2020-06-01,4.010000228881836,4.059999942779541,3.890000104904175,3.9800000190734863,16684857
2020-06-02,3.9800000190734863,4.079999923706055,3.9600000381469727,4.039999961853027,9406398
2020-06-03,4.190000057220459,4.21999979019165,4.019999980926514,4.050000190734863,17514432
2020-06-04,4.489999771118164,4.570000171661377,4.28000020980835,4.309999942779541,34422516
2020-06-05,4.630000114440918,4.809999942779541,4.599999904632568,4.769999980926514,20526652
2020-06-09,4.929999828338623,4.980000019073486,4.860000133514404,4.949999809265137,21773598
2020-06-10,4.949999809265137,5.010000228881836,4.800000190734863,4.869999885559082,19843843
2020-06-11,4.630000114440918,4.900000095367432,4.630000114440918,4.840000152587891,19469514
2020-06-12,4.489999771118164,4.539999961853027,4.170000076293945,4.309999942779541,29067507
2020-06-15,4.329999923706055,4.579999923706055,4.300000190734863,4.510000228881836,13584759
2020-06-16,4.519999980926514,4.550000190734863,4.409999847412109,4.5,16909658
2020-06-17,4.519999980926514,4.590000152587891,4.429999828338623,4.550000190734863,10909580
